rank,maxIter,regParam,RMSE,MAE,Training Time
10,5,0.01,0.8287532682472757,0.637519874224038,135.40001368522644
10,5,0.1,0.8237868740524048,0.6422132484666865,114.49696087837219
10,10,0.01,0.8090618843358238,0.6179447063290263,103.26820349693298
10,10,0.1,0.813369918790894,0.6305898690332014,100.34528374671936
20,5,0.01,0.8233944909342304,0.6258669010983132,105.76411557197571
20,5,0.1,0.8349643371796558,0.6580302588793823,118.48043179512024
20,10,0.01,0.8148911794336411,0.6158771113603109,121.59956860542297
20,10,0.1,0.8128497792595575,0.6327941238010775,117.9288809299469
