NumTrees,MaxDepth,MaxBins,MinInstancesPerNode,RMSE,MAE,ExecutionTime
5,3,32,1,0.7073673779492708,0.5012141527750729,106.06417870521545
5,5,32,1,0.6330246538171986,0.4872234896829782,108.88536930084229
5,7,32,1,0.6157988107819216,0.4922203605392742,114.52282333374023
10,3,32,1,0.6841857649670975,0.4984371929711715,131.81477189064026
10,3,64,1,0.6841749414256242,0.49842717822325777,119.47369647026062
10,3,128,1,0.6841978606443212,0.4984624664634264,121.07077884674072
10,5,32,1,0.6188139533277793,0.4875244578815149,123.39133262634277
10,5,64,1,0.6190555774868254,0.4873388654684034,130.47836470603943
10,5,128,1,0.619036298306606,0.4872727781316206,134.71112179756165
10,7,32,1,0.6057812101686663,0.4999093996606415,138.3155701160431
10,7,32,2,0.6057812101686663,0.49990939966064163,139.39355945587158
10,7,32,3,0.6057812101686663,0.49990939966064163,137.9281303882599
10,7,64,1,0.606080336501933,0.4993118619670106,144.0661473274231
10,7,128,1,0.6060483349432587,0.49929549959032143,137.33214449882507
20,3,32,1,0.6893112020083034,0.4934011530228249,136.4540731906891
20,5,32,1,0.637516473466226,0.47931063344252384,164.2036213874817
20,7,32,1,0.6129158242503205,0.4824585508333522,198.0221676826477
